User-Defined Residential Building,
Inputs + Space Description,
,Co (ppm),HCeil (m),tmetric (h),Q (L/s person),Qalt (L/s person),Bfl (m²),
,420,2.4,2.0,5.1,10.0,84,

Scenario,Method,NOccH,Nbr,
Whole House,ACH,3,2,

Occupants,
,Nocc,Sex,Mass (kg),Age Group,Activity Level (met),
,1,M,68.0,30 to 59,1,
,1,F,63.5,30 to 59,1,
,1,M,18.1,3 to 9,1,

,tss (h),Css (ppm),Cm (ppm),C1h (ppm),
Primary Results,11.1,983,655,553,
Alternate Results,17.1,1285,676,559,

Plot Data,
,Time (h),C (ppm),Calt (ppm),
,4.80,829,913,
,4.82,829,914,
,4.83,830,915,
,4.85,831,916,
,4.87,831,917,
,4.88,832,918,
,4.90,833,919,
,4.92,833,920,
,4.93,834,921,
,4.95,835,922,
,4.97,835,923,
,4.98,836,924,
,5.00,837,926,
,5.02,837,927,
,5.03,838,928,
,5.05,839,929,
,5.07,839,930,
,5.08,840,931,
,5.10,841,932,
,5.12,841,933,
,5.13,842,934,
,5.15,843,935,
,5.17,843,936,
,5.18,844,937,
,5.20,844,938,
,5.22,845,939,
,5.23,846,940,
,5.25,846,941,
,5.27,847,942,
,5.28,847,943,
,5.30,848,944,
,5.32,849,945,
,5.33,849,946,
,5.35,850,947,
,5.37,850,948,
,5.38,851,949,
,5.40,852,950,
,5.42,852,951,
,5.43,853,952,
,5.45,853,953,
,5.47,854,954,
,5.48,855,955,
,5.50,855,956,
,5.52,856,957,
,5.53,856,958,
,5.55,857,959,
,5.57,857,960,
,5.58,858,961,
,5.60,859,961,
,5.62,859,962,
,5.63,860,963,
,5.65,860,964,
,5.67,861,965,
,5.68,861,966,
,5.70,862,967,
,5.72,862,968,
,5.73,863,969,
,5.75,863,970,
,5.77,864,971,
,5.78,865,972,
,5.80,865,973,
,5.82,866,974,
,5.83,866,974,
,5.85,867,975,
,5.87,867,976,
,5.88,868,977,
,5.90,868,978,
,5.92,869,979,
,5.93,869,980,
,5.95,870,981,
,5.97,870,982,
,5.98,871,983,
,6.00,871,983,
,6.02,872,984,
,6.03,872,985,
,6.05,873,986,
,6.07,873,987,
,6.08,874,988,
,6.10,874,989,
,6.12,875,990,
,6.13,875,990,
,6.15,876,991,
,6.17,876,992,
,6.18,877,993,
,6.20,877,994,
,6.22,878,995,
,6.23,878,996,
,6.25,879,996,
,6.27,879,997,
,6.28,879,998,
,6.30,880,999,
,6.32,880,1000,
,6.33,881,1001,
,6.35,881,1001,
,6.37,882,1002,
,6.38,882,1003,
,6.40,883,1004,
,6.42,883,1005,
,6.43,884,1006,
,6.45,884,1006,
,6.47,884,1007,
,6.48,885,1008,
,6.50,885,1009,
,6.52,886,1010,
,6.53,886,1010,
,6.55,887,1011,
,6.57,887,1012,
,6.58,887,1013,
,6.60,888,1014,
,6.62,888,1014,
,6.63,889,1015,
,6.65,889,1016,
,6.67,890,1017,
,6.68,890,1018,
,6.70,890,1018,
,6.72,891,1019,
,6.73,891,1020,
,6.75,892,1021,
,6.77,892,1021,
