pm1_0_mass_conc,datetime
4.2632904052734375'2023-08-28 14:07:25.465267'
4.319339752197266,'2023-08-28 14:07:26.674209'
4.389323711395264,'2023-08-28 14:07:27.888388'
4.4397711753845215,'2023-08-28 14:07:29.098502'
4.4673309326171875,'2023-08-28 14:07:30.306731'
4.482260227203369,'2023-08-28 14:07:31.517640'
4.494715213775635,'2023-08-28 14:07:32.730396'
4.512572288513184,'2023-08-28 14:07:33.938208'
4.512033939361572,'2023-08-28 14:07:35.150110'
4.506911277770996,'2023-08-28 14:07:36.357092'
4.522909641265869,'2023-08-28 14:07:37.566348'
4.543354511260986,'2023-08-28 14:07:38.776569'
4.627443790435791,'2023-08-28 14:07:39.984887'
4.768081188201904,'2023-08-28 14:07:41.195637'
4.819113254547119,'2023-08-28 14:07:42.411317'
4.849912166595459,'2023-08-28 14:07:43.625169'
4.901668071746826,'2023-08-28 14:07:44.842234'
4.924696922302246,'2023-08-28 14:07:46.052100'
4.9107513427734375,'2023-08-28 14:07:47.261722'
4.9274678230285645,'2023-08-28 14:07:48.473081'
5.004695415496826,'2023-08-28 14:07:49.704148'
5.069918632507324,'2023-08-28 14:07:50.921175'
5.120957374572754,'2023-08-28 14:07:52.131017'
5.12404727935791,'2023-08-28 14:07:53.341818'
5.097902297973633,'2023-08-28 14:07:54.551675'
5.085991859436035,'2023-08-28 14:07:55.765927'
5.063138961791992,'2023-08-28 14:07:56.973772'
5.061259746551514,'2023-08-28 14:07:58.184473'
5.019192695617676,'2023-08-28 14:07:59.397506'
5.010234355926514,'2023-08-28 14:08:00.606172'
4.998060703277588,'2023-08-28 14:08:01.814458'
4.960811614990234,'2023-08-28 14:08:03.025589'
4.900142192840576,'2023-08-28 14:08:04.237390'
4.861574649810791,'2023-08-28 14:08:05.444465'
4.887150764465332,'2023-08-28 14:08:06.653163'
4.995331287384033,'2023-08-28 14:08:07.867313'
5.129137992858887,'2023-08-28 14:08:09.080511'
5.158889293670654,'2023-08-28 14:08:10.292447'
5.15399169921875,'2023-08-28 14:08:11.501707'
5.143669605255127,'2023-08-28 14:08:12.712253'
5.11399507522583,'2023-08-28 14:08:13.920510'
5.067611217498779,'2023-08-28 14:08:15.125687'
5.072865009307861,'2023-08-28 14:08:16.334513'
5.071577072143555,'2023-08-28 14:08:17.549766'
5.049941062927246,'2023-08-28 14:08:18.759844'
5.049694061279297,'2023-08-28 14:08:19.970810'
5.037472248077393,'2023-08-28 14:08:21.181591'
5.0315165519714355,'2023-08-28 14:08:22.393497'
5.029093265533447,'2023-08-28 14:08:23.604227'
5.022023677825928,'2023-08-28 14:08:24.816322'
5.011173725128174,'2023-08-28 14:08:26.024256'
5.052790641784668,'2023-08-28 14:08:27.235484'
5.081157207489014,'2023-08-28 14:08:28.445696'
5.098507404327393,'2023-08-28 14:08:29.660887'
5.144414901733398,'2023-08-28 14:08:30.869446'
5.144118785858154,'2023-08-28 14:08:32.082702'
5.109710693359375,'2023-08-28 14:08:33.294983'
5.068397521972656,'2023-08-28 14:08:34.504408'
5.0143723487854,'2023-08-28 14:08:35.715505'
4.965653896331787,'2023-08-28 14:08:36.923807'
5.010124683380127,'2023-08-28 14:08:38.134063'
5.038785934448242,'2023-08-28 14:08:39.344273'
5.056798458099365,'2023-08-28 14:08:40.550790'
5.058474540710449,'2023-08-28 14:08:41.761666'
4.9915771484375,'2023-08-28 14:08:42.972450'
4.960333347320557,'2023-08-28 14:08:44.186339'
4.930607318878174,'2023-08-28 14:08:45.390822'
4.902408123016357,'2023-08-28 14:08:46.604192'
4.87572717666626,'2023-08-28 14:08:47.810546'
4.792182445526123,'2023-08-28 14:08:49.018815'
4.761903762817383,'2023-08-28 14:08:50.230366'
4.712351322174072,'2023-08-28 14:08:51.438010'
4.6702752113342285,'2023-08-28 14:08:52.648614'
4.649737358093262,'2023-08-28 14:08:53.859436'
4.732092380523682,'2023-08-28 14:08:55.069607'
4.762402534484863,'2023-08-28 14:08:56.280833'
4.776983737945557,'2023-08-28 14:08:57.491500'
4.793740272521973,'2023-08-28 14:08:58.702321'
4.870710849761963,'2023-08-28 14:08:59.917931'
4.927924633026123,'2023-08-28 14:09:01.128208'
4.962642669677734,'2023-08-28 14:09:02.341525'
4.978791236877441,'2023-08-28 14:09:03.552457'
4.964676856994629,'2023-08-28 14:09:04.761790'
4.945159435272217,'2023-08-28 14:09:05.971087'
4.939389705657959,'2023-08-28 14:09:07.181543'
4.907914161682129,'2023-08-28 14:09:08.397614'
4.870994567871094,'2023-08-28 14:09:09.612405'
4.860156536102295,'2023-08-28 14:09:10.825247'
4.86641788482666,'2023-08-28 14:09:12.031311'
4.8384270668029785,'2023-08-28 14:09:13.240135'
4.812554836273193,'2023-08-28 14:09:14.456158'
4.7961883544921875,'2023-08-28 14:09:15.663877'
4.784130573272705,'2023-08-28 14:09:16.870732'
4.7574334144592285,'2023-08-28 14:09:18.081857'
4.725888252258301,'2023-08-28 14:09:19.288229'
4.6681389808654785,'2023-08-28 14:09:20.498882'
4.612335205078125,'2023-08-28 14:09:21.709044'
4.501234531402588,'2023-08-28 14:09:22.920100'
4.445926666259766,'2023-08-28 14:09:24.130622'
4.386791229248047,'2023-08-28 14:09:25.340227'
4.332677841186523,'2023-08-28 14:09:26.548360'
4.290704250335693,'2023-08-28 14:09:27.763156'
4.253958225250244,'2023-08-28 14:09:28.974067'
4.241764068603516,'2023-08-28 14:09:30.182727'
4.227123260498047,'2023-08-28 14:09:31.394772'
4.210647106170654,'2023-08-28 14:09:32.604043'
4.1259613037109375,'2023-08-28 14:09:33.813600'
4.562798023223877,'2023-08-28 14:14:14.839277'
4.54858922958374,'2023-08-28 14:14:16.048297'
4.551840782165527,'2023-08-28 14:14:17.259357'
4.569202899932861,'2023-08-28 14:14:18.469652'
4.582758903503418,'2023-08-28 14:14:19.686839'
4.620303630828857,'2023-08-28 14:14:20.899014'
4.621592998504639,'2023-08-28 14:14:22.112862'
14.765312194824219,'2023-08-28 14:14:23.323991'
18.504940032958984,'2023-08-28 14:14:24.539564'
68.8403091430664,'2023-08-28 14:14:25.747812'
94.34307861328125,'2023-08-28 14:14:26.956445'
119.28527069091797,'2023-08-28 14:14:28.163002'
115.56062316894531,'2023-08-28 14:14:29.369879'
102.5974349975586,'2023-08-28 14:14:30.580355'
76.70631408691406,'2023-08-28 14:14:31.795441'
66.69988250732422,'2023-08-28 14:14:33.005132'
82.8125991821289,'2023-08-28 14:14:34.214822'
120.91986083984375,'2023-08-28 14:14:35.425277'
154.5061492919922,'2023-08-28 14:14:36.635979'
170.1765594482422,'2023-08-28 14:14:37.851083'
179.01699829101562,'2023-08-28 14:14:39.064668'
238.5656280517578,'2023-08-28 14:14:40.272857'
283.20159912109375,'2023-08-28 14:14:41.483521'
291.3070068359375,'2023-08-28 14:14:42.700489'
256.4381103515625,'2023-08-28 14:14:43.913434'
253.07073974609375,'2023-08-28 14:14:45.126625'
280.411865234375,'2023-08-28 14:14:46.336885'
314.0352783203125,'2023-08-28 14:14:47.548245'
320.6116027832031,'2023-08-28 14:14:48.758206'
310.95452880859375,'2023-08-28 14:14:49.968970'
317.55731201171875,'2023-08-28 14:14:51.179705'
287.8346862792969,'2023-08-28 14:14:52.391008'
273.250244140625,'2023-08-28 14:14:53.598430'
216.56175231933594,'2023-08-28 14:14:54.803961'
192.06471252441406,'2023-08-28 14:14:56.012754'
166.14588928222656,'2023-08-28 14:14:57.217121'
143.17225646972656,'2023-08-28 14:14:58.423180'
133.9148712158203,'2023-08-28 14:14:59.633218'
144.09304809570312,'2023-08-28 14:15:00.844141'
146.55026245117188,'2023-08-28 14:15:02.053819'
147.83114624023438,'2023-08-28 14:15:03.281515'
151.9432830810547,'2023-08-28 14:15:04.490869'
154.9368133544922,'2023-08-28 14:15:05.703840'
156.6492462158203,'2023-08-28 14:15:06.916855'
157.7700653076172,'2023-08-28 14:15:08.123399'
163.47042846679688,'2023-08-28 14:15:09.329248'
185.6253662109375,'2023-08-28 14:15:10.534720'
198.239013671875,'2023-08-28 14:15:11.745263'
197.18565368652344,'2023-08-28 14:15:12.957893'
197.1709747314453,'2023-08-28 14:15:14.166962'
198.2213592529297,'2023-08-28 14:15:15.390392'
201.7665557861328,'2023-08-28 14:15:16.599807'
208.08096313476562,'2023-08-28 14:15:17.811630'
208.49179077148438,'2023-08-28 14:15:19.019474'
207.61257934570312,'2023-08-28 14:15:20.228927'
205.96859741210938,'2023-08-28 14:15:21.437381'
196.23126220703125,'2023-08-28 14:15:22.646053'
190.63726806640625,'2023-08-28 14:15:23.851340'
185.088134765625,'2023-08-28 14:15:25.057236'
180.12631225585938,'2023-08-28 14:15:26.269840'
176.63519287109375,'2023-08-28 14:15:27.478223'
170.50730895996094,'2023-08-28 14:15:28.687969'
168.27182006835938,'2023-08-28 14:15:29.900414'
166.68873596191406,'2023-08-28 14:15:31.110347'
165.78521728515625,'2023-08-28 14:15:32.318745'
165.1860809326172,'2023-08-28 14:15:33.529284'
164.75340270996094,'2023-08-28 14:15:34.741379'
164.62034606933594,'2023-08-28 14:15:35.952862'
164.41697692871094,'2023-08-28 14:15:37.163545'
164.3225555419922,'2023-08-28 14:15:38.373581'
164.2952423095703,'2023-08-28 14:15:39.582202'
164.83026123046875,'2023-08-28 14:15:40.790722'
165.18826293945312,'2023-08-28 14:15:41.999070'
