pm1_0_mass_conc,datetime
9.482134819030762,2023-07-25 11:16:24.935657
9.404762268066406,2023-07-25 11:16:26.164922
9.4224271774292,2023-07-25 11:16:27.377981
9.424335479736328,2023-07-25 11:16:28.586824
9.4511079788208,2023-07-25 11:16:29.801775
9.482760429382324,2023-07-25 11:16:31.012600
9.607439041137695,2023-07-25 11:16:32.216552
9.651993751525879,2023-07-25 11:16:33.429102
9.681384086608887,2023-07-25 11:16:34.641280
9.66067886352539,2023-07-25 11:16:35.857228
9.644597053527832,2023-07-25 11:16:37.070191
9.630655288696289,2023-07-25 11:16:38.280831
9.645136833190918,2023-07-25 11:16:39.492410
9.694611549377441,2023-07-25 11:16:40.707035
9.712493896484375,2023-07-25 11:16:41.915095
9.663435935974121,2023-07-25 11:16:43.124992
9.642443656921387,2023-07-25 11:16:44.337251
9.595921516418457,2023-07-25 11:16:45.550494
9.522171974182129,2023-07-25 11:16:46.760169
9.456897735595703,2023-07-25 11:16:47.972859
9.36756706237793,2023-07-25 11:16:49.184050
9.310806274414062,2023-07-25 11:16:50.392092
9.23890495300293,2023-07-25 11:16:51.604241
9.200090408325195,2023-07-25 11:16:52.815486
9.106560707092285,2023-07-25 11:16:54.025958
8.967453002929688,2023-07-25 11:16:55.232358
8.930747985839844,2023-07-25 11:16:56.445943
8.886215209960938,2023-07-25 11:16:57.653035
8.865632057189941,2023-07-25 11:16:58.866360
8.95753288269043,2023-07-25 11:17:00.078454
9.007133483886719,2023-07-25 11:17:01.293817
9.076812744140625,2023-07-25 11:17:02.507343
9.094785690307617,2023-07-25 11:17:03.720628
9.175389289855957,2023-07-25 11:17:04.933935
9.24960708618164,2023-07-25 11:17:06.150602
9.233413696289062,2023-07-25 11:17:07.366092
9.262093544006348,2023-07-25 11:17:08.577656
9.27499771118164,2023-07-25 11:17:09.786652
9.297308921813965,2023-07-25 11:17:10.998464
9.476614952087402,2023-07-25 11:17:12.206501
9.566904067993164,2023-07-25 11:17:13.419666
9.700571060180664,2023-07-25 11:17:14.630897
9.81633186340332,2023-07-25 11:17:15.842978
10.061741828918457,2023-07-25 11:17:17.051700
10.168598175048828,2023-07-25 11:17:18.263571
10.190789222717285,2023-07-25 11:17:19.474944
10.19599723815918,2023-07-25 11:17:20.684085
10.217385292053223,2023-07-25 11:17:21.896918
10.184081077575684,2023-07-25 11:17:23.107666
10.124921798706055,2023-07-25 11:17:24.318559
10.042564392089844,2023-07-25 11:17:25.528488
9.934930801391602,2023-07-25 11:17:26.739210
9.707866668701172,2023-07-25 11:17:27.951735
9.607280731201172,2023-07-25 11:17:29.167123
9.548845291137695,2023-07-25 11:17:30.383003
9.480416297912598,2023-07-25 11:17:31.599588
9.412035942077637,2023-07-25 11:17:32.809583
9.301676750183105,2023-07-25 11:17:34.016634
9.246830940246582,2023-07-25 11:17:35.226313
9.214046478271484,2023-07-25 11:17:36.437733
9.214376449584961,2023-07-25 11:17:37.644831
9.21157169342041,2023-07-25 11:17:38.850551
9.162108421325684,2023-07-25 11:17:40.065756
9.131357192993164,2023-07-25 11:17:41.275489
9.141255378723145,2023-07-25 11:17:42.488647
9.132132530212402,2023-07-25 11:17:43.706406
9.111373901367188,2023-07-25 11:17:44.916116
9.161062240600586,2023-07-25 11:17:46.129382
9.264937400817871,2023-07-25 11:17:47.345429
9.722811698913574,2023-07-25 11:17:48.560752
11.8729248046875,2023-07-25 11:17:49.772124
34.33791732788086,2023-07-25 11:17:50.988186
41.5514030456543,2023-07-25 11:17:52.201464
43.89583206176758,2023-07-25 11:17:53.412694
49.829017639160156,2023-07-25 11:17:54.623247
49.991249084472656,2023-07-25 11:17:55.832461
56.33185577392578,2023-07-25 11:17:57.045898
61.06657409667969,2023-07-25 11:17:58.261204
66.68025970458984,2023-07-25 11:17:59.476094
74.53111267089844,2023-07-25 11:18:00.692339
86.53917694091797,2023-07-25 11:18:01.906594
92.6939468383789,2023-07-25 11:18:03.114212
103.60830688476562,2023-07-25 11:18:04.323918
108.0886459350586,2023-07-25 11:18:05.536154
109.84390258789062,2023-07-25 11:18:06.751665
112.86822509765625,2023-07-25 11:18:07.969295
115.45458221435547,2023-07-25 11:18:09.184232
119.45203399658203,2023-07-25 11:18:10.392161
125.3352279663086,2023-07-25 11:18:11.604483
130.10914611816406,2023-07-25 11:18:12.813216
149.31349182128906,2023-07-25 11:18:14.022268
155.3395233154297,2023-07-25 11:18:15.232666
165.68533325195312,2023-07-25 11:18:16.443729
170.51040649414062,2023-07-25 11:18:17.654075
