pm1_0_mass_conc,datetime
2.917520761489868,2023-08-29 09:06:32.581709
2.9368834495544434,2023-08-29 09:06:33.795668
2.9231984615325928,2023-08-29 09:06:35.004427
2.9054741859436035,2023-08-29 09:06:36.212329
2.832920551300049,2023-08-29 09:06:37.417481
2.7913787364959717,2023-08-29 09:06:38.626082
2.737346887588501,2023-08-29 09:06:39.838370
2.688800096511841,2023-08-29 09:06:41.046700
2.64518141746521,2023-08-29 09:06:42.254001
2.570779323577881,2023-08-29 09:06:43.461076
2.54667329788208,2023-08-29 09:06:44.669824
2.509211540222168,2023-08-29 09:06:45.879993
2.468837022781372,2023-08-29 09:06:47.085078
2.3769912719726562,2023-08-29 09:06:48.295103
2.349337100982666,2023-08-29 09:06:49.505846
2.333566904067993,2023-08-29 09:06:50.716444
2.304988384246826,2023-08-29 09:06:51.926847
2.2587897777557373,2023-08-29 09:06:53.134091
2.2411482334136963,2023-08-29 09:06:54.340833
2.2451469898223877,2023-08-29 09:06:55.545776
2.2409961223602295,2023-08-29 09:06:56.754155
2.230285406112671,2023-08-29 09:06:57.961666
2.2218995094299316,2023-08-29 09:06:59.169681
2.216742992401123,2023-08-29 09:07:00.378018
2.2045600414276123,2023-08-29 09:07:01.585872
2.2103002071380615,2023-08-29 09:07:02.795775
2.2154393196105957,2023-08-29 09:07:04.011526
2.2648251056671143,2023-08-29 09:07:05.224086
2.275214195251465,2023-08-29 09:07:06.433802
2.2910006046295166,2023-08-29 09:07:07.644396
2.2884085178375244,2023-08-29 09:07:08.855757
2.2860171794891357,2023-08-29 09:07:10.068027
2.3299782276153564,2023-08-29 09:07:11.277881
2.348365306854248,2023-08-29 09:07:12.486270
2.3623673915863037,2023-08-29 09:07:13.697708
2.365147352218628,2023-08-29 09:07:14.905410
2.358808994293213,2023-08-29 09:07:16.115295
2.327199935913086,2023-08-29 09:07:17.324493
2.318081855773926,2023-08-29 09:07:18.535900
2.302577018737793,2023-08-29 09:07:19.747328
2.911137819290161,2023-08-29 09:07:20.955556
26.03907585144043,2023-08-29 09:07:22.166496
40.92408752441406,2023-08-29 09:07:23.378471
80.5667953491211,2023-08-29 09:07:24.591589
94.80984497070312,2023-08-29 09:07:25.799582
101.17059326171875,2023-08-29 09:07:27.009147
102.96044158935547,2023-08-29 09:07:28.218062
114.86335754394531,2023-08-29 09:07:29.425444
132.3056182861328,2023-08-29 09:07:30.633111
162.5783233642578,2023-08-29 09:07:31.842430
183.82284545898438,2023-08-29 09:07:33.050575
194.39602661132812,2023-08-29 09:07:34.262337
205.29627990722656,2023-08-29 09:07:35.475478
231.38534545898438,2023-08-29 09:07:36.680868
239.78746032714844,2023-08-29 09:07:37.889230
212.40867614746094,2023-08-29 09:07:39.100108
190.99368286132812,2023-08-29 09:07:40.309056
183.0838165283203,2023-08-29 09:07:41.518178
179.22760009765625,2023-08-29 09:07:42.726335
176.94891357421875,2023-08-29 09:07:43.935320
170.06365966796875,2023-08-29 09:07:45.142174
175.7156219482422,2023-08-29 09:07:46.353264
178.45159912109375,2023-08-29 09:07:47.562498
232.8148193359375,2023-08-29 09:07:48.772927
325.84222412109375,2023-08-29 09:07:49.980906
657.7244262695312,2023-08-29 09:07:51.190597
974.8135375976562,2023-08-29 09:07:52.399989
914.1748657226562,2023-08-29 09:07:53.608937
815.6505126953125,2023-08-29 09:07:54.814317
748.0947875976562,2023-08-29 09:07:56.022083
792.049560546875,2023-08-29 09:07:57.238220
740.643310546875,2023-08-29 09:07:58.447735
751.0234375,2023-08-29 09:07:59.652358
610.7828979492188,2023-08-29 09:08:00.862983
419.78826904296875,2023-08-29 09:08:02.068769
337.4485778808594,2023-08-29 09:08:03.272895
308.6575927734375,2023-08-29 09:08:04.481249
333.8514099121094,2023-08-29 09:08:05.691140
348.97784423828125,2023-08-29 09:08:06.900435
316.36639404296875,2023-08-29 09:08:08.105688
293.1856384277344,2023-08-29 09:08:09.313757
257.7042236328125,2023-08-29 09:08:10.523584
224.25088500976562,2023-08-29 09:08:11.735422
194.1499786376953,2023-08-29 09:08:12.944873
167.80262756347656,2023-08-29 09:08:14.154943
158.5162811279297,2023-08-29 09:08:15.359917
156.9944610595703,2023-08-29 09:08:16.565494
157.25205993652344,2023-08-29 09:08:17.772673
161.86106872558594,2023-08-29 09:08:18.979916
173.8719024658203,2023-08-29 09:08:20.187128
177.5985870361328,2023-08-29 09:08:21.397540
179.3472442626953,2023-08-29 09:08:22.603769
180.09432983398438,2023-08-29 09:08:23.817151
183.32606506347656,2023-08-29 09:08:25.029451
184.5951690673828,2023-08-29 09:08:26.242913
186.30874633789062,2023-08-29 09:08:27.451794
186.9527587890625,2023-08-29 09:08:28.657358
187.39883422851562,2023-08-29 09:08:29.867490
188.32481384277344,2023-08-29 09:08:31.076464
188.4595184326172,2023-08-29 09:08:32.285342
187.85107421875,2023-08-29 09:08:33.494163
187.56483459472656,2023-08-29 09:08:34.704235
187.1047821044922,2023-08-29 09:08:35.915125
186.4536895751953,2023-08-29 09:08:37.126658
186.1632080078125,2023-08-29 09:08:38.334264
186.13201904296875,2023-08-29 09:08:39.541720
186.00616455078125,2023-08-29 09:08:40.751528
185.8422088623047,2023-08-29 09:08:41.958580
185.0489501953125,2023-08-29 09:08:43.168646
184.39340209960938,2023-08-29 09:08:44.383081
184.07835388183594,2023-08-29 09:08:45.592617
183.46168518066406,2023-08-29 09:08:46.799069
182.7786865234375,2023-08-29 09:08:48.012205
182.4458465576172,2023-08-29 09:08:49.221504
182.50559997558594,2023-08-29 09:08:50.425448
182.52394104003906,2023-08-29 09:08:51.636204
182.31260681152344,2023-08-29 09:08:52.845789
182.67453002929688,2023-08-29 09:08:54.058731
182.7227325439453,2023-08-29 09:08:55.270098
182.5116424560547,2023-08-29 09:08:56.480224
182.4228057861328,2023-08-29 09:08:57.694506
182.30186462402344,2023-08-29 09:08:58.903173
181.98745727539062,2023-08-29 09:09:00.112938
181.5473175048828,2023-08-29 09:09:01.318321
181.10873413085938,2023-08-29 09:09:02.528116
180.70387268066406,2023-08-29 09:09:03.735046
180.210693359375,2023-08-29 09:09:04.944664
180.03785705566406,2023-08-29 09:09:06.155880
179.881591796875,2023-08-29 09:09:07.364657
179.47657775878906,2023-08-29 09:09:08.570916
178.9862060546875,2023-08-29 09:09:09.777690
178.17288208007812,2023-08-29 09:09:10.992610
177.8406982421875,2023-08-29 09:09:12.201983
177.45445251464844,2023-08-29 09:09:13.412032
177.0561981201172,2023-08-29 09:09:14.623969
177.1255645751953,2023-08-29 09:09:15.835184
177.3112030029297,2023-08-29 09:09:17.044948
177.04551696777344,2023-08-29 09:09:18.253823
176.8772430419922,2023-08-29 09:09:19.463131
176.4624786376953,2023-08-29 09:09:20.677384
176.24533081054688,2023-08-29 09:09:21.887623
176.40394592285156,2023-08-29 09:09:23.097233
176.5865020751953,2023-08-29 09:09:24.310673
176.60687255859375,2023-08-29 09:09:25.521015
176.2155303955078,2023-08-29 09:09:26.735164
175.2350311279297,2023-08-29 09:09:27.947651
174.87509155273438,2023-08-29 09:09:29.157871
174.81790161132812,2023-08-29 09:09:30.367768
174.8119659423828,2023-08-29 09:09:31.578392
174.80601501464844,2023-08-29 09:09:32.789272
174.6183624267578,2023-08-29 09:09:34.003265
174.7586669921875,2023-08-29 09:09:35.213916
174.7350616455078,2023-08-29 09:09:36.428082
174.6996612548828,2023-08-29 09:09:37.642840
174.6173858642578,2023-08-29 09:09:38.851479
174.95054626464844,2023-08-29 09:09:40.063193
175.00686645507812,2023-08-29 09:09:41.272112
174.78904724121094,2023-08-29 09:09:42.482487
174.7154541015625,2023-08-29 09:09:43.688626
174.3625946044922,2023-08-29 09:09:44.896202
174.1862030029297,2023-08-29 09:09:46.104013
173.84628295898438,2023-08-29 09:09:47.311807
173.62347412109375,2023-08-29 09:09:48.523347
173.7669219970703,2023-08-29 09:09:49.730470
174.0059814453125,2023-08-29 09:09:50.938141
173.95777893066406,2023-08-29 09:09:52.147834
173.97019958496094,2023-08-29 09:09:53.362320
174.19073486328125,2023-08-29 09:09:54.566850
174.61795043945312,2023-08-29 09:09:55.776060
175.03787231445312,2023-08-29 09:09:56.987334
175.02235412597656,2023-08-29 09:09:58.194894
174.97340393066406,2023-08-29 09:09:59.403038
174.84812927246094,2023-08-29 09:10:00.612919
174.89749145507812,2023-08-29 09:10:01.824369
174.8896942138672,2023-08-29 09:10:03.032961
174.7022705078125,2023-08-29 09:10:04.245360
174.55311584472656,2023-08-29 09:10:05.455293
174.84217834472656,2023-08-29 09:10:06.668437
175.48614501953125,2023-08-29 09:10:07.881944
175.65342712402344,2023-08-29 09:10:09.087088
175.5890350341797,2023-08-29 09:10:10.301219
175.36026000976562,2023-08-29 09:10:11.506984
175.05862426757812,2023-08-29 09:10:12.720576
174.15969848632812,2023-08-29 09:10:13.932537
173.77536010742188,2023-08-29 09:10:15.141365
173.37693786621094,2023-08-29 09:10:16.351132
173.04266357421875,2023-08-29 09:10:17.561041
172.82302856445312,2023-08-29 09:10:18.766977
172.8047332763672,2023-08-29 09:10:19.972981
172.83587646484375,2023-08-29 09:10:21.185709
173.21315002441406,2023-08-29 09:10:22.397111
173.3758544921875,2023-08-29 09:10:23.609847
173.8488311767578,2023-08-29 09:10:24.820376
174.3465118408203,2023-08-29 09:10:26.030710
174.64341735839844,2023-08-29 09:10:27.242134
175.03489685058594,2023-08-29 09:10:28.453331
175.30831909179688,2023-08-29 09:10:29.659479
175.74093627929688,2023-08-29 09:10:30.865599
176.08863830566406,2023-08-29 09:10:32.073628
176.263671875,2023-08-29 09:10:33.285335
176.36492919921875,2023-08-29 09:10:34.499913
176.4578857421875,2023-08-29 09:10:35.710590
176.66494750976562,2023-08-29 09:10:36.919795
176.07180786132812,2023-08-29 09:10:38.133711
175.39488220214844,2023-08-29 09:10:39.344756
174.58828735351562,2023-08-29 09:10:40.555450
173.87872314453125,2023-08-29 09:10:41.769134
173.1898193359375,2023-08-29 09:10:42.982068
172.98704528808594,2023-08-29 09:10:44.194220
172.67843627929688,2023-08-29 09:10:45.407068
172.4578399658203,2023-08-29 09:10:46.623320
171.45706176757812,2023-08-29 09:10:47.834276
170.7876739501953,2023-08-29 09:10:49.039461
170.3413543701172,2023-08-29 09:10:50.249979
170.2086181640625,2023-08-29 09:10:51.459480
170.13900756835938,2023-08-29 09:10:52.671240
169.2998504638672,2023-08-29 09:10:53.883188
169.31016540527344,2023-08-29 09:10:55.094236
169.22348022460938,2023-08-29 09:10:56.301323
169.16275024414062,2023-08-29 09:10:57.514352
168.62574768066406,2023-08-29 09:10:58.720593
168.2779541015625,2023-08-29 09:10:59.929757
167.8533477783203,2023-08-29 09:11:01.140713
167.80902099609375,2023-08-29 09:11:02.350863
168.04713439941406,2023-08-29 09:11:03.562005
167.77964782714844,2023-08-29 09:11:04.777195
167.58921813964844,2023-08-29 09:11:05.985794
167.6230010986328,2023-08-29 09:11:07.190952
167.96322631835938,2023-08-29 09:11:08.399494
168.197509765625,2023-08-29 09:11:09.612531
168.0535888671875,2023-08-29 09:11:10.819942
167.8389434814453,2023-08-29 09:11:12.031587
167.3256378173828,2023-08-29 09:11:13.246519
167.0918731689453,2023-08-29 09:11:14.460458
166.59991455078125,2023-08-29 09:11:15.665304
166.32098388671875,2023-08-29 09:11:16.873622
165.79348754882812,2023-08-29 09:11:18.083887
165.16163635253906,2023-08-29 09:11:19.294515
164.46315002441406,2023-08-29 09:11:20.506164
163.45806884765625,2023-08-29 09:11:21.713920
162.9678192138672,2023-08-29 09:11:22.923069
162.99380493164062,2023-08-29 09:11:24.133472
163.19479370117188,2023-08-29 09:11:25.344041
164.01614379882812,2023-08-29 09:11:26.553609
169.13844299316406,2023-08-29 09:11:27.765049
172.8852996826172,2023-08-29 09:11:28.977414
175.1143798828125,2023-08-29 09:11:30.183152
176.68714904785156,2023-08-29 09:11:31.390937
177.3001251220703,2023-08-29 09:11:32.602346
177.80699157714844,2023-08-29 09:11:33.810687
178.4372100830078,2023-08-29 09:11:35.019656
179.9267120361328,2023-08-29 09:11:36.225785
180.6273956298828,2023-08-29 09:11:37.438763
181.8883514404297,2023-08-29 09:11:38.646037
182.1328887939453,2023-08-29 09:11:39.854569
182.03146362304688,2023-08-29 09:11:41.066774
181.7020721435547,2023-08-29 09:11:42.272706
181.0765380859375,2023-08-29 09:11:43.482196
180.3161163330078,2023-08-29 09:11:44.692306
188.74180603027344,2023-08-29 09:11:45.900605
197.2261505126953,2023-08-29 09:11:47.113004
208.16622924804688,2023-08-29 09:11:48.323128
214.07191467285156,2023-08-29 09:11:49.534965
211.256103515625,2023-08-29 09:11:50.743067
211.08360290527344,2023-08-29 09:11:51.947676
209.69070434570312,2023-08-29 09:11:53.155764
207.114013671875,2023-08-29 09:11:54.367758
203.9975128173828,2023-08-29 09:11:55.578745
200.21453857421875,2023-08-29 09:11:56.794745
198.9168701171875,2023-08-29 09:11:58.005565
198.23361206054688,2023-08-29 09:11:59.218171
197.70089721679688,2023-08-29 09:12:00.424639
197.1688232421875,2023-08-29 09:12:01.632860
196.74246215820312,2023-08-29 09:12:02.840871
196.1226348876953,2023-08-29 09:12:04.050125
195.55921936035156,2023-08-29 09:12:05.267478
195.93377685546875,2023-08-29 09:12:06.475353
196.67153930664062,2023-08-29 09:12:07.683926
196.98361206054688,2023-08-29 09:12:08.890341
196.98443603515625,2023-08-29 09:12:10.099698
197.30413818359375,2023-08-29 09:12:11.312315
197.8525390625,2023-08-29 09:12:12.521561
198.31590270996094,2023-08-29 09:12:13.730582
198.19082641601562,2023-08-29 09:12:14.943983
198.05616760253906,2023-08-29 09:12:16.153975
197.90945434570312,2023-08-29 09:12:17.363985
198.7270050048828,2023-08-29 09:12:18.575082
199.52249145507812,2023-08-29 09:12:19.780921
200.1893310546875,2023-08-29 09:12:20.995814
200.538330078125,2023-08-29 09:12:22.206224
157.5454559326172,2023-08-29 09:12:23.414548
76.8548355102539,2023-08-29 09:12:24.621082
51.60882568359375,2023-08-29 09:12:25.832372
36.13407897949219,2023-08-29 09:12:27.037772
25.61029052734375,2023-08-29 09:12:28.247738
19.204967498779297,2023-08-29 09:12:29.460627
12.634215354919434,2023-08-29 09:12:30.672471
10.625092506408691,2023-08-29 09:12:31.883536
9.19509220123291,2023-08-29 09:12:33.098159
7.555091381072998,2023-08-29 09:12:34.307400
6.554591655731201,2023-08-29 09:12:35.516426
6.3622565269470215,2023-08-29 09:12:36.726629
6.341111660003662,2023-08-29 09:12:37.932934
6.305552005767822,2023-08-29 09:12:39.141098
6.243783473968506,2023-08-29 09:12:40.357156
6.314259052276611,2023-08-29 09:12:41.565913
6.421478748321533,2023-08-29 09:12:42.777434
6.612907886505127,2023-08-29 09:12:43.994503
37.870460510253906,2023-08-29 09:12:45.208204
81.4103012084961,2023-08-29 09:12:46.424925
146.01519775390625,2023-08-29 09:12:47.638452
145.55288696289062,2023-08-29 09:12:48.847771
156.91226196289062,2023-08-29 09:12:50.056987
170.1609649658203,2023-08-29 09:12:51.267412
190.64596557617188,2023-08-29 09:12:52.478587
195.52346801757812,2023-08-29 09:12:53.694135
204.33734130859375,2023-08-29 09:12:54.907631
205.4900360107422,2023-08-29 09:12:56.120098
204.12115478515625,2023-08-29 09:12:57.337110
208.0066680908203,2023-08-29 09:12:58.541768
207.40402221679688,2023-08-29 09:12:59.752947
205.11611938476562,2023-08-29 09:13:00.963065
