start_time,Distance (in),Experiment,end_time,competing airflow,Fan,shroud,spacing (in),push filters,pull filters,filepath
2023-07-05 06:33:22.976886,4,"1 QT3, NF-F12 iPPC-3000 2/3 speed",2023-07-05 06:34:17.983704,,NF-F12 iPPC-3000 Industrial,False,,1 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 06:35:07.489442,6,"1 QT3, NF-F12 iPPC-3000 2/3 speed",2023-07-05 06:35:40.390943,,NF-F12 iPPC-3000 Industrial,False,,1 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 06:36:23.235398,8,"1 QT3, NF-F12 iPPC-3000 2/3 speed",2023-07-05 06:37:04.714598,,NF-F12 iPPC-3000 Industrial,False,,1 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 06:41:07.358627,10,"1 QT3, NF-F12 iPPC-3000 2/3 speed",2023-07-05 06:41:39.230507,,NF-F12 iPPC-3000 Industrial,False,,1 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 06:42:53.328288,12,"1 QT3, NF-F12 iPPC-3000 2/3 speed",2023-07-05 06:43:24.242514,,NF-F12 iPPC-3000 Industrial,False,,1 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 06:44:51.825950,14,"1 QT3, NF-F12 iPPC-3000 2/3 speed",2023-07-05 06:45:27.631332,,NF-F12 iPPC-3000 Industrial,False,,1 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 06:46:56.575481,16,"1 QT3, NF-F12 iPPC-3000 2/3 speed",2023-07-05 06:47:27.972109,,NF-F12 iPPC-3000 Industrial,False,,1 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 06:48:09.302357,18,"1 QT3, NF-F12 iPPC-3000 2/3 speed",2023-07-05 06:48:31.518170,,NF-F12 iPPC-3000 Industrial,False,,1 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 06:49:46.140337,18,"1 QT3, NF-F12 iPPC-3000 full speed",2023-07-05 06:50:31.568171,,NF-F12 iPPC-3000 Industrial,False,,1 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 06:51:09.457901,16,"1 QT3, NF-F12 iPPC-3000 full speed",2023-07-05 06:51:33.194697,,NF-F12 iPPC-3000 Industrial,False,,1 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 06:52:21.098626,14,"1 QT3, NF-F12 iPPC-3000 full speed",2023-07-05 06:52:46.625562,,NF-F12 iPPC-3000 Industrial,False,,1 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 06:53:33.276876,12,"1 QT3, NF-F12 iPPC-3000 full speed",2023-07-05 06:54:03.260723,,NF-F12 iPPC-3000 Industrial,False,,1 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 06:54:45.058061,10,"1 QT3, NF-F12 iPPC-3000 full speed",2023-07-05 06:55:12.244760,,NF-F12 iPPC-3000 Industrial,False,,1 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 06:55:59.774936,8,"1 QT3, NF-F12 iPPC-3000 full speed",2023-07-05 06:56:33.825374,,NF-F12 iPPC-3000 Industrial,False,,1 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 06:56:55.012391,6,"1 QT3, NF-F12 iPPC-3000 full speed",2023-07-05 06:57:17.860697,,NF-F12 iPPC-3000 Industrial,False,,1 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 06:57:46.594634,4,"1 QT3, NF-F12 iPPC-3000 full speed",2023-07-05 06:58:27.918645,,NF-F12 iPPC-3000 Industrial,False,,1 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 06:58:55.000622,2,"1 QT3, NF-F12 iPPC-3000 full speed",2023-07-05 06:59:32.106642,,NF-F12 iPPC-3000 Industrial,False,,1 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 07:03:01.075190,2,"2 QT3, 2 Arctic P12 Max 2/3 speed",2023-07-05 07:03:34.778897,,2 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
