pm1_0_mass_conc,datetime
5.128851890563965,2023-08-19 15:30:22
5.1021246910095215,2023-08-19 15:30:24
5.066976547241211,2023-08-19 15:30:25
5.017822742462158,2023-08-19 15:30:26
4.957846164703369,2023-08-19 15:30:27
4.892089366912842,2023-08-19 15:30:28
4.858397006988525,2023-08-19 15:30:30
4.827505588531494,2023-08-19 15:30:31
4.814253330230713,2023-08-19 15:30:32
4.778723239898682,2023-08-19 15:30:33
4.7583394050598145,2023-08-19 15:30:34
4.754271507263184,2023-08-19 15:30:36
4.755987644195557,2023-08-19 15:30:37
4.762326717376709,2023-08-19 15:30:38
4.767218589782715,2023-08-19 15:30:39
4.801100730895996,2023-08-19 15:30:41
4.863071918487549,2023-08-19 15:30:42
4.917134761810303,2023-08-19 15:30:43
4.964344501495361,2023-08-19 15:30:44
4.982778072357178,2023-08-19 15:30:45
4.980631351470947,2023-08-19 15:30:47
4.944106101989746,2023-08-19 15:30:48
4.917588233947754,2023-08-19 15:30:49
4.813271999359131,2023-08-19 15:30:50
4.838096618652344,2023-08-19 15:30:51
4.892370223999023,2023-08-19 15:30:53
4.902403354644775,2023-08-19 15:30:54
4.876535892486572,2023-08-19 15:30:55
4.828341484069824,2023-08-19 15:30:56
4.7835235595703125,2023-08-19 15:30:57
4.751832485198975,2023-08-19 15:30:59
4.71614933013916,2023-08-19 15:31:00
4.7000908851623535,2023-08-19 15:31:01
4.611095428466797,2023-08-19 15:31:02
4.565465450286865,2023-08-19 15:31:03
4.557823657989502,2023-08-19 15:31:05
4.543487548828125,2023-08-19 15:31:06
4.5168375968933105,2023-08-19 15:31:07
4.554525375366211,2023-08-19 15:31:08
4.569562911987305,2023-08-19 15:31:09
4.596086502075195,2023-08-19 15:31:11
4.6241607666015625,2023-08-19 15:31:12
4.669126510620117,2023-08-19 15:31:13
4.693986415863037,2023-08-19 15:31:14
4.727242946624756,2023-08-19 15:31:16
4.759372234344482,2023-08-19 15:31:17
4.827884197235107,2023-08-19 15:31:18
4.944074630737305,2023-08-19 15:31:19
5.003213882446289,2023-08-19 15:31:20
5.053613185882568,2023-08-19 15:31:22
5.058900833129883,2023-08-19 15:31:23
5.0501275062561035,2023-08-19 15:31:24
5.026388168334961,2023-08-19 15:31:25
5.030385494232178,2023-08-19 15:31:26
5.035884380340576,2023-08-19 15:31:28
5.004985809326172,2023-08-19 15:31:29
